,Tenure,Age,Contacts,Income,Bandwidth_GB_Year,Yearly_equip_failure,Tablet,Gender,Techie
6252,56.12428,55,1,54172.57,4866.05903,0,0,2,0
4684,10.06351,54,0,31168.17,1716.442787,0,0,2,0
1731,9.727109482,58,1,15537.16,1925.341061,0,0,1,0
4742,1.726448,44,0,12187.37,847.9529065,2,1,1,0
4521,29.30064,85,1,38644.0,2626.362759,0,0,1,0
6340,45.95837,57,1,38158.54,4106.326096,1,1,2,0
576,10.19243185,47,0,20125.41,1277.521575,0,1,2,0
5202,61.73977,40,0,60472.35,5399.848703,0,0,2,1
6363,65.32231,63,1,20477.49,6228.197573,0,1,1,0
439,10.27782059,43,2,31920.88,1400.834009,1,1,1,0
2750,6.780515,77,0,40411.35,1158.10468,0,1,1,0
7487,65.37201,84,1,9273.52,5631.487821,1,1,0,1
5272,60.83121,24,0,59523.54,5824.302038,0,1,1,0
5653,41.94323,36,0,29547.56,4185.58497,1,0,2,0
3999,2.366635,49,1,71323.38,773.1936845,1,1,2,0
6033,69.026,55,0,30938.57,6768.348896,0,1,1,0
582,2.140387928,34,2,80906.28,1080.597617,0,0,1,0
9930,61.46622,48,2,33316.37,5369.984663,1,1,1,0
7051,57.857,62,0,17765.33,5497.902793,0,1,1,0
8158,64.82387,65,0,31896.6,6265.224971,1,0,1,1
9896,68.57996,21,2,64176.43,6531.266707,0,1,1,1
2249,3.459881,48,1,6975.47,971.0579616,0,0,2,0
4640,1.817421,33,1,18308.7,548.1888179,0,0,1,0
9485,68.30856,22,0,57901.36,6572.634947,0,0,1,0
4947,4.171617,60,1,53256.9,782.2940277,1,0,2,0
9920,57.46466,54,1,34382.04,5425.59259,1,0,2,1
1963,3.27055489,72,2,38137.48,911.5267548,0,0,2,0
8243,69.13685,51,1,43850.44,6462.269067,1,0,2,1
6590,68.52821,45,0,13236.13,6556.791992,1,0,2,0
8847,52.71022,67,1,24326.72,4943.594438,0,0,2,0
321,13.67931764,73,1,28654.87,1245.328696,0,1,2,0
2678,23.86996,83,1,60280.07,2609.91314,2,0,1,0
4625,17.74303,29,0,54929.43,1958.174563,0,0,2,0
4949,3.684683,23,1,113511.5,386.0205317,0,0,2,0
8328,58.59644,54,1,52756.23,5085.534857,1,1,2,1
3337,4.043506,76,0,20068.93,585.4873226,0,0,1,0
5589,70.49798,71,0,23360.78,5939.80671,0,0,2,0
251,14.23487852,42,2,31809.46,1641.938696,0,0,2,0
3973,4.418665,21,2,50562.37,1290.002306,0,0,1,0
6630,61.78631,74,1,23083.13,5483.045236,1,1,1,1
5547,51.32084,66,0,44541.99,4501.420909,0,1,1,0
35,5.478588204,52,0,8283.29,1209.961168,1,0,1,0
8362,45.22174,71,1,48628.18,4032.926983,0,0,2,0
1513,7.080759052,18,0,72563.64,1363.832113,1,0,2,0
9317,67.22133,75,3,13363.47,6338.594614,0,1,1,0
39,16.04202196,72,1,50336.5,1530.10769,1,0,1,0
4819,3.876069,58,3,20474.19,1218.662597,0,1,1,1
3465,4.597088,53,1,44295.41,909.4363783,1,1,2,1
1760,11.32652677,39,0,38306.27,1897.050575,0,0,1,0
2304,12.69435,53,1,34994.57,1444.696816,1,1,2,1
3723,4.926111,37,1,19168.31,856.9298283,0,0,2,0
8284,54.36032,55,2,12702.36,4871.680899,0,1,1,0
